goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
0,0.0,0,0,0,0,0.05,2,0.0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0.0,7.55,1086957,3201
5,62.86,11,0,4,0,2.28,48,10.42,12,0,1,1,14,0,2,5,0.0,44,23,0,1,0,16.67,7.41,994454,3210
1,100.0,0,0,0,0,1.08,7,14.29,0,1,0,0,3,0,0,0,0.0,17,4,0,1,0,0.0,7.4,158259,3211
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.37,790756,36839
0,50.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.35,794812,6074
6,45.61,9,1,4,2,4.03,42,14.29,17,0,3,2,24,3,1,6,66.67,26,9,2,2,0,5.88,7.34,846280,3215
2,66.67,12,0,1,2,1.81,39,5.13,12,0,0,0,12,0,0,1,0.0,32,15,0,1,1,0.0,7.34,146416,3202
0,50.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.3,941090,3205
0,100.0,0,0,0,0,0.02,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.29,1017440,42338
1,100.0,1,0,0,0,0.65,2,50.0,0,0,0,0,1,0,0,0,0.0,1,0,0,1,1,0.0,7.25,174855,3218
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.25,871581,7628
4,66.67,9,0,1,1,2.59,39,10.26,7,0,2,2,14,0,1,1,0.0,16,16,0,3,3,14.29,7.25,877513,3211
0,50.0,1,0,0,0,0.13,1,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.23,945103,6074
3,100.0,7,0,0,1,1.11,18,16.67,0,3,0,1,5,0,0,0,0.0,5,6,0,3,0,0.0,7.22,249009,3206
12,50.0,7,0,1,0,7.91,47,25.53,0,1,6,4,25,3,0,2,100.0,28,15,3,11,9,0.0,7.22,962029,3211
0,81.48,12,0,0,0,0.94,20,0.0,1,0,1,0,0,0,0,0,0.0,22,8,0,0,0,0.0,7.22,260077,3216
1,66.67,0,0,0,0,0.49,4,25.0,0,1,0,0,1,0,0,0,0.0,4,3,0,1,0,0.0,7.21,790004,3211
5,48.94,6,1,1,3,3.86,44,11.36,4,0,1,5,20,0,0,5,0.0,23,18,0,4,0,0.0,7.2,340861,3211
1,61.82,19,0,1,0,1.96,53,1.89,11,0,1,0,11,0,0,1,0.0,68,23,0,0,0,0.0,7.2,832213,36833
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.2,1384966,3212
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.2,1381878,3205
2,85.71,3,0,0,0,1.62,16,12.5,0,1,1,1,5,0,0,1,0.0,6,8,0,2,0,0.0,7.2,849020,36839
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.2,25566,3202
0,90.91,1,0,0,0,0.41,10,0.0,0,0,2,1,4,0,0,0,0.0,10,5,0,0,0,0.0,7.18,14933,3208
1,100.0,1,0,0,0,0.59,5,20.0,0,0,1,0,3,0,0,0,0.0,5,1,0,1,1,0.0,7.18,233856,3208
6,66.33,22,0,2,1,5.46,74,8.11,4,0,2,4,28,1,0,5,0.0,65,24,0,4,1,0.0,7.18,922454,3206
4,50.0,6,0,0,0,3.25,30,13.33,0,2,1,3,10,0,0,0,0.0,3,14,0,4,2,0.0,7.18,895327,3216
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.18,340849,3216
11,51.35,13,0,1,2,9.18,81,13.58,2,2,5,7,26,2,0,3,100.0,19,42,2,10,6,0.0,7.16,914501,7628
0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,7.16,248977,3210
3,70.0,3,0,0,0,1.85,26,11.54,0,2,1,3,9,0,0,1,0.0,7,14,0,3,0,0.0,7.15,340727,7628
0,56.0,3,0,0,0,0.27,9,0.0,0,0,0,0,0,0,0,0,0.0,14,6,0,0,0,0.0,7.15,895931,3205
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,7.15,941546,65668
0,60.0,1,0,0,0,0.27,4,0.0,4,0,0,0,1,0,0,0,0.0,3,2,0,0,0,0.0,7.14,76383,3216
