bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.id,team.id
0,36,1,5,0,77.78,0,45.45,28,24,0,0,8,4,0.0,7.55,1086957,3201
14,1042,263,81,6,74.76,70,53.64,779,266,54,2,263,567,42.52,7.41,994454,3210
1,1168,46,92,1,87.07,2,60.53,1017,729,0,0,151,288,0.0,7.4,158259,3211
0,727,23,142,0,78.54,2,47.65,571,506,0,0,156,65,0.0,7.37,790756,36839
0,124,11,32,0,40.32,0,30.48,50,26,0,0,74,24,0.0,7.35,794812,6074
3,452,132,34,1,73.89,23,60.71,334,103,18,0,118,249,26.87,7.34,846280,3215
3,735,200,53,3,82.59,26,61.63,607,174,20,0,128,453,29.41,7.34,146416,3202
0,27,6,5,0,55.56,0,62.5,15,1,2,0,12,16,66.67,7.3,941090,3205
0,458,55,173,0,48.47,1,42.3,222,71,0,0,236,151,0.0,7.29,1017440,42338
0,199,9,14,0,73.37,0,33.33,146,109,0,0,53,37,0.0,7.25,174855,3218
0,42,4,15,0,52.38,0,42.86,22,13,0,0,20,9,0.0,7.25,871581,7628
2,785,233,29,0,83.57,25,63.04,656,228,14,0,129,442,28.57,7.25,877513,3211
1,76,2,12,1,73.68,1,52.17,56,51,0,0,20,5,0.0,7.23,945103,6074
0,1001,62,100,0,81.82,4,52.91,819,532,2,0,182,289,100.0,7.22,249009,3206
6,456,153,2,3,72.37,36,28.57,330,86,3,0,126,247,25.0,7.22,962029,3211
2,1715,232,206,1,77.73,10,51.12,1333,784,14,0,382,563,31.11,7.22,260077,3216
0,946,74,103,0,90.38,5,74.1,855,586,1,0,91,270,33.33,7.21,790004,3211
6,1159,402,46,4,82.92,50,73.02,961,298,17,1,198,680,20.24,7.2,340861,3211
5,1175,310,101,3,76.17,48,51.79,895,322,28,2,280,601,23.93,7.2,832213,36833
0,69,0,4,0,85.51,0,36.36,59,51,0,0,10,8,0.0,7.2,1384966,3212
0,19,3,0,0,73.68,1,0.0,14,6,0,0,5,8,0.0,7.2,1381878,3205
1,1098,102,114,1,77.41,2,46.15,850,585,0,0,248,265,0.0,7.2,849020,36839
0,514,21,99,0,69.84,0,39.92,359,299,0,0,155,60,0.0,7.2,25566,3202
0,622,40,66,0,84.08,1,60.0,523,401,0,0,99,122,0.0,7.18,14933,3208
