yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.id,team.id
1,0,90,16,1,0.0,1,1,1,1,0,1,100.0,100.0,0,8.6,890061,47700
1,9,795,114,0,47.37,4,12,38,47,14,9,52.05,51.09,12,7.73,840066,7059
0,0,4,1,0,0.0,0,1,0,0,0,0,0.0,0.0,0,7.5,989584,268083
0,0,180,10,0,0.0,0,2,0,0,0,2,0.0,0.0,0,7.5,989573,423192
3,20,1704,341,0,41.67,29,21,76,96,7,18,63.87,57.49,18,7.46,1476548,6968
0,1,90,3,0,100.0,0,1,0,1,0,1,0.0,100.0,0,7.4,1184211,7878
8,2,1323,290,0,25.0,33,17,86,88,20,16,49.71,48.62,26,7.38,579384,321264
4,27,2407,197,0,45.76,36,30,78,105,14,28,55.71,52.76,24,7.37,1099312,268083
9,8,2418,178,0,30.77,30,29,47,55,14,28,45.63,42.64,28,7.33,897007,47700
0,4,560,92,0,40.0,5,8,21,25,3,6,52.5,50.0,6,7.3,1184178,268082
6,4,2350,370,1,50.0,81,27,161,165,21,27,62.89,62.5,32,7.29,386274,268082
4,35,2135,252,2,60.34,34,27,71,106,37,25,42.26,46.9,32,7.29,340419,32529
1,1,495,49,0,100.0,0,6,1,2,0,6,50.0,66.67,0,7.28,894214,268083
6,3,1884,416,2,50.0,22,23,40,43,8,23,49.38,49.43,20,7.28,38406,47700
4,4,825,169,1,25.0,8,10,21,25,19,9,32.81,31.25,5,7.26,311400,33820
6,30,2025,276,0,51.72,22,25,53,83,45,24,36.81,41.09,32,7.25,805150,7059
3,10,2403,365,0,40.0,11,30,55,65,17,28,48.25,46.76,12,7.25,931426,268083
6,4,1620,268,1,40.0,15,24,52,56,36,17,45.61,45.16,14,7.24,868702,47700
4,5,1593,273,0,55.56,22,28,56,61,19,17,45.53,46.21,23,7.23,876307,7059
3,9,1762,355,0,50.0,43,29,106,115,14,17,55.21,54.76,25,7.22,72872,32529
9,29,2407,273,0,46.77,33,28,72,101,35,28,40.0,41.74,36,7.21,815461,47700
6,6,1368,303,0,37.5,17,20,68,74,13,15,55.28,53.24,25,7.21,223728,273544
4,13,2359,456,0,50.0,34,27,118,131,24,26,52.91,52.61,27,7.19,789878,273544
10,47,2037,181,0,68.12,26,23,67,114,26,23,67.0,67.46,3,7.18,122667,7878
6,7,2524,489,0,24.14,63,29,155,162,29,29,54.58,51.76,37,7.18,846524,372975
5,7,2340,237,0,100.0,4,27,4,11,2,25,66.67,84.62,0,7.17,870493,7878
3,21,2567,399,0,51.22,41,31,84,105,21,30,62.22,59.66,15,7.17,1468327,321264
4,36,2456,182,0,48.65,19,30,46,82,10,29,46.94,47.67,19,7.15,839459,33714
2,4,2524,514,0,25.0,47,30,142,146,19,28,52.01,50.52,45,7.15,819655,327910
3,4,1963,271,1,21.05,24,26,82,86,16,23,51.9,48.59,16,7.15,1000182,268083
