name,slug,shortName,gender,userCount,nameCode,disabled,national,type,team.id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text,team.image
Bahia,bahia,Bahia,M,62440,BAH,False,False,0,1955,Bahia,-1230768000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Arena Fonte Nova,51614,11969,BR,Brazil,BR,Brazil,#ffffff,#333399,#333399,https://api.sofascore.app/api/v1/team/1955/image
Coritiba,coritiba,Coritiba,M,38928,COR,False,False,0,1982,Coritiba,-1900454400,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Estádio Couto Pereira,40502,1304,BR,Brazil,BR,Brazil,#ffffff,#009966,#009966,https://api.sofascore.app/api/v1/team/1982/image
Internacional,internacional,Internacional,M,90636,INT,False,False,0,1966,Internacional,-1916956800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Estadio Beira-Rio,50842,3423,BR,Brazil,BR,Brazil,#cc0000,#cc0000,#cc0000,https://api.sofascore.app/api/v1/team/1966/image
Palmeiras,palmeiras,Palmeiras,M,204701,PAL,False,False,0,1963,Palmeiras,-1746748800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Allianz Parque,45000,15699,BR,Brazil,BR,Brazil,#339966,#336633,#336633,https://api.sofascore.app/api/v1/team/1963/image
Atlético Mineiro,atletico-mineiro,Atlético-MG,M,104112,ATL,False,False,0,1977,Atlético Mineiro,-1949356800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Arena MRV,43000,987,BR,Brazil,BR,Brazil,#000000,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/1977/image
Grêmio,gremio,Grêmio,M,107182,GPA,False,False,0,5926,Grêmio,-2092176000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Arena do Grêmio,60540,11308,BR,Brazil,BR,Brazil,#3399ff,#000033,#000033,https://api.sofascore.app/api/v1/team/5926/image
Santos,santos,Santos,M,87820,SAN,False,False,0,1968,Santos,-1821398400,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Urbano Caldeira,16798,810,BR,Brazil,BR,Brazil,#ffffff,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/1968/image
Athletico,athletico,Athletico,M,68818,CAP,False,False,0,1967,Athletico,-1444348800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Ligga Arena,43000,1129,BR,Brazil,BR,Brazil,#000000,#cc0000,#cc0000,https://api.sofascore.app/api/v1/team/1967/image
Botafogo,botafogo,Botafogo,M,100509,BOT,False,False,0,1958,Botafogo,-2382652800,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Estádio Nilton Santos,46831,13224,BR,Brazil,BR,Brazil,#000000,#ffffff,#ffffff,https://api.sofascore.app/api/v1/team/1958/image
Flamengo,flamengo,Flamengo,M,296415,FLA,False,False,0,5981,Flamengo,-2339280000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Estádio do Maracanã,78838,686,BR,Brazil,BR,Brazil,#ff0000,#000000,#000000,https://api.sofascore.app/api/v1/team/5981/image
São Paulo,sao-paulo,São Paulo,M,160434,SPA,False,False,0,1981,São Paulo,-1074384000,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Estádio Cicero Pompeu de Toledo,67052,694,BR,Brazil,BR,Brazil,#ffffff,#000000,#000000,https://api.sofascore.app/api/v1/team/1981/image
Cruzeiro,cruzeiro,Cruzeiro,M,79902,CRU,False,False,0,1954,Cruzeiro,-1546214400,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Governador Magalhaes Pinto,62000,649,BR,Brazil,BR,Brazil,#0033cc,#0033cc,#0033cc,https://api.sofascore.app/api/v1/team/1954/image
Fortaleza,fortaleza,Fortaleza,M,73132,FOR,False,False,0,2020,Fortaleza,-1615939200,Football,football,1,Brazil,brazil,Football,football,1,13,brazil,BR,Arena Castelão,63903,16153,BR,Brazil,BR,Brazil,#0000ff,#ff0000,#ff0000,https://api.sofascore.app/api/v1/team/2020/image
